States,Disease of Heart,Maglinent neoplasm cancer,Cerebovascular diseases,Chronic lower respiratory diseases,Diabeties mellitus,Alzeheimer's disease,influenza and neumonia,"Nephritis, nephrotic syndrome and nephrosis",Deaths due to various diseases,Total accidents,Injury by firearms,Assault(homicide),"Deaths due to accidents,injury, assault"
Alabama,253.3,197.7,55.3,46.7,29.3,30.3,30.3,22.2,665.1,53.8,16.8,9.8,80.4
Alaska,167.2,177.4,47.2,37.2,25.6,24.7,24.7,12.6,516.6,51.9,17.1,6.1,75.1
Arizona,164.2,155.7,34.5,43.7,19,31.4,31.4,8.8,488.7,53.8,15.9,8.9,78.6
Arkansas,233,196,58.8,47.4,26.9,23.9,23.9,19.3,629.2,49.1,15.1,8.5,72.7
California,192.5,162.3,44.9,39.1,22.1,24.1,24.1,8,517.1,31.6,9.1,6.9,47.6
Colorado,151.6,157.7,38.9,49.3,16.6,27.7,27.7,12.1,481.6,42.1,10.4,3.7,56.2
Connecticut,177.3,177.8,36.3,35.5,19.2,16.2,16.2,13.7,492.2,34.6,5,3.9,43.5
Delaware,201.2,191.4,41.7,37.5,20.5,20.4,20.4,16.5,549.6,37.9,9.2,6.1,53.2
District of Columbia,260,198.7,36.9,21.5,30.6,18.3,18.3,11.1,595.4,38.1,20.6,23.3,82
Florida,175.1,172,35.3,35.9,21.7,17,17,10.5,484.5,46,11.1,7,64.1
Georgia,213.2,180.4,51.3,45.1,20.6,25.7,25.7,21.7,583.7,43.8,12.2,7.1,63.1
Hawaii,147.2,147.6,43.2,19.4,18.1,12.2,12.2,11.8,411.7,31.7,2.5,2.1,36.3
Idaho,168.5,163.2,51.8,46.6,23,28.1,28.1,9.2,518.5,47,12.6,2.6,62.2
Illinois,204.4,187.2,45.3,36.9,21.6,20.6,20.6,19.2,555.8,34.3,8,6.7,49
Indiana,217.2,197.7,49,50.8,25.8,25.2,25.2,20.8,611.7,38.7,11.6,5.9,56.2
Iowa,184.7,179.6,42.9,45.3,21.9,26.3,26.3,5.7,532.7,35.4,6.3,2.5,44.2
Kansas,183.6,180.5,46.5,49.9,24.7,24.3,24.3,18.8,552.6,41.5,10.9,4.1,56.5
Kentucky,235.5,211.2,50.3,55,25.9,26.7,26.7,21,652.3,57.5,12.5,4.6,74.6
Louisiana,232.3,203.5,51.5,39.6,35.5,30.5,30.5,25.2,648.6,56.6,19.3,12.8,88.7
Maine,174,193.8,41.3,49.3,21.4,29,29,15.7,553.5,40.6,7.3,1.5,49.4
Maryland,205.6,186.8,43.6,34.3,22.4,17.1,17.1,14.1,541,26.1,12.1,10.2,48.4
Massachusetts,169.5,186.7,37.6,34.5,15.4,19.4,19.4,18.5,501,32,3.2,2.9,38.1
Michigan,227,191,44.7,42.9,26.8,21.7,21.7,15.8,591.6,34.9,11.4,7.2,53.5
Minnesota,133.9,171.2,39.4,33.3,21.4,22.2,22.2,12.8,456.4,35.2,6.3,2.5,44
Mississippi,270.9,209.2,53.4,46.7,23.8,25,25,22.5,676.5,63.8,16.6,11,91.4
Missouri,224.4,196.2,49.5,47.3,23.4,24.1,24.1,17.1,606.1,49.7,13,7.1,69.8
Montana,168.4,179.6,41.3,53.6,23,19.6,19.6,11.9,517,55.8,12.4,3.8,72
Nebraska,165,176.9,43.8,44.2,22.1,22.6,22.6,12.2,509.4,35.9,7.7,3.1,46.7
Nevada,226.7,183.2,39.6,49,12.8,14.7,14.7,22,562.7,44.5,16.5,8.9,69.9
New Hampshire,178.3,182.6,35.5,44.4,21.2,26.5,26.5,11.6,526.6,33.7,6.1,1.6,41.4
New Jersey,200.9,182.3,35.8,30.3,25.9,16.5,16.5,17.1,525.3,28.7,5.7,5.3,39.7
New Mexico,172.6,158.3,37.6,45.5,30.5,17.7,17.7,13.2,493.1,67.1,14.5,7,88.6
New York,233.1,169,29.8,30.1,18.3,9.1,9.1,11,509.5,25.9,5.1,5,36
North Carolina,195.3,192.8,52.4,45.9,24.9,26.4,26.4,18.9,583,47,12.7,7,66.7
Ohio,216.1,198,45.1,47.9,29.6,27,27,13.8,604.5,40.2,9.6,5.9,55.7
Oklahoma,251.1,194.8,53.4,57.1,30.3,23.5,23.5,15.4,649.1,56.3,13.4,6.4,76.1
Oregon,160,181.3,47.9,45.7,28.2,29,29,8.7,529.8,40.5,10,3.1,53.6
Pennsylvania,207.1,190.8,43.4,35.4,22.2,18.9,18.9,19,555.7,39.4,10.9,6.4,56.7
Rhode Island,200.8,181.7,31.2,38.2,16.2,20.3,20.3,12.9,521.6,36.4,4.2,3.6,44.2
South Carolina,200.2,193.2,51.6,43.2,25,31.5,31.5,18.9,595.1,53.2,14,9.1,76.3
South Dakota,177,171.9,42.9,39.7,27.1,29.8,29.8,6.2,524.4,53,9.7,2.9,65.6
Tennessee,233.3,204.7,54.9,47.8,27.1,34.6,34.6,12.4,649.4,54.2,15.4,8,77.6
Texas,197.4,174.5,48.3,39.9,26.1,25.9,25.9,15.3,553.3,41,10.4,6.1,57.5
Utah,156.3,136.4,36.4,31.9,26.1,21.4,21.4,11.1,441,30.9,9.7,2,42.6
Virginia,190.8,183.9,48.8,37.4,21.8,22.3,22.3,19.2,546.5,35.7,10.5,5.3,51.5
Washington,165.8,174.2,42.9,43.1,24.4,38.3,38.3,6.6,533.6,41.1,8.4,3.4,52.9
West Virginia,236.9,205.9,47.6,56.6,33.1,21.8,21.8,20.8,644.5,62.2,13.2,5.4,80.8
Wisconsin,181.1,181.2,44.6,38.8,19.7,24.2,24.2,15.4,529.2,42.7,7.5,3.5,53.7
Puerto Rico ,146.7,121.1,40.7,27.2,65.3,34,34,24.2,493.2,29.6,17.4,18.1,65.1
